origin,destination,distance,duration
1801 W Diamond St,2059 E Chelten Ave,10453,1628
1510 W Oxford St,521-23 W. Lehigh Ave.,3337,553
3001 Walnut St.,4355 Paul St,15202,1215
735 W. Butler St.,1510 W Oxford St,4496,756
3101 Ridge Ave.,4667 Paul St.,13062,1320
2703 Tasker St,3223 W Clifford St,7856,707
4700 Wyalusing Ave.,4355 Paul St,17704,1368
735 W. Butler St.,4700 Wyalusing Ave.,13370,1161
4700 Wyalusing Ave.,735 W. Butler St.,12492,1042
1510 W Oxford St,2059 E Chelten Ave,15431,1393
4700 Wyalusing Ave.,6027 Chestnut St,3204,531
3101 Ridge Ave.,537 E. Wyoming Ave.,10089,899
735 W. Butler St.,6434 Castor Ave,7623,1016
6500 Castor Ave,180 E Tulpehocken St,11504,1443
1510 W Oxford St,4355 Paul St,14305,1319
704 W Girard Ave,4700 Wyalusing Ave.,8976,1127
4700 Wyalusing Ave.,6500 Castor Ave,17729,1513
3101 Ridge Ave.,169 W. Wyoming Ave.,8285,708
8398 Lindbergh Blvd,935 S 53rd St,6960,857
5901 Larchwood Ave,4700 Wyalusing Ave.,3513,622
6500 Castor Ave,1801 W Diamond St,11729,1539
521-23 W. Lehigh Ave.,1510 W Oxford St,3320,570
521-23 W. Lehigh Ave.,6434 Castor Ave,8897,1198
521-23 W. Lehigh Ave.,4355 Paul St,5614,982
4700 Wyalusing Ave.,2000 N 11th St,7238,1285
521-23 W. Lehigh Ave.,4520 Benner St,8239,1408
4700 Wyalusing Ave.,2455 S. 3rd Street,14653,1212
735 W. Butler St.,6500 Castor Ave,7623,1009
4700 Wyalusing Ave.,6434 Castor Ave,17729,1520
8398 Lindbergh Blvd,2455 S. 3rd Street,14348,1131
4700 Wyalusing Ave.,169 W. Wyoming Ave.,12401,945
2703 Tasker St,735 W. Butler St.,17231,1122
100 E. Lehigh Ave.,2530 Wharton St,13291,1319
4700 Wyalusing Ave.,4667 Paul St.,17179,1557
4700 Wyalusing Ave.,1801 W Diamond St,5924,1031
1510 W Oxford St,8398 Lindbergh Blvd,20532,1489
521-23 W. Lehigh Ave.,3001 Walnut St.,11719,1374
4355 Paul St,2530 Wharton St,17100,1271
3101 Ridge Ave.,1220 S. 58th St,9443,1458
521-23 W. Lehigh Ave.,169 W. Wyoming Ave.,3956,573
5901 Larchwood Ave,2530 Wharton St,5614,995
521-23 W. Lehigh Ave.,4667 Paul St.,6069,1090
735 W. Butler St.,4667 Paul St.,6157,921
6027 Chestnut St,2455 S. 3rd Street,15000,1579
6027 Chestnut St,3223 W Clifford St,6610,1084
521-23 W. Lehigh Ave.,2530 Wharton St,14201,1473
8398 Lindbergh Blvd,5901 Larchwood Ave,7997,1030
521-23 W. Lehigh Ave.,6500 Castor Ave,8897,1192
3001 Walnut St.,5901 Larchwood Ave,5336,776
4700 Wyalusing Ave.,2703 Tasker St,9128,1094
6500 Castor Ave,8398 Lindbergh Blvd,29279,1869
8398 Lindbergh Blvd,769 N 39th St,10104,1516
4700 Wyalusing Ave.,8398 Lindbergh Blvd,17623,1314
6500 Castor Ave,3223 W Clifford St,14343,1393
6027 Chestnut St,704 W Girard Ave,10482,1446
5901 Larchwood Ave,2703 Tasker St,5898,1056
521-23 W. Lehigh Ave.,2059 E Chelten Ave,7588,1289
5901 Larchwood Ave,2000 N 11th St,11402,1777
4700 Wyalusing Ave.,180 E Tulpehocken St,12805,1184
735 W. Butler St.,8398 Lindbergh Blvd,26567,1689
1510 W Oxford St,6027 Chestnut St,8782,1554
1510 W Oxford St,6500 Castor Ave,12265,1633
8398 Lindbergh Blvd,180 E Tulpehocken St,27048,1885
735 W. Butler St.,6027 Chestnut St,14812,1607
5901 Larchwood Ave,1419 Wharton St,7202,1317
5901 Larchwood Ave,3223 W Clifford St,7101,1222
5901 Larchwood Ave,3101 Ridge Ave.,8063,1352
2703 Tasker St,6027 Chestnut St,7236,1105
735 W. Butler St.,3001 Walnut St.,15347,1265
4355 Paul St,5901 Larchwood Ave,20369,1717
5901 Larchwood Ave,2455 S. 3rd Street,12239,1486
704 W Girard Ave,5901 Larchwood Ave,12392,1491
1510 W Oxford St,5901 Larchwood Ave,10078,1632
5901 Larchwood Ave,3001 Walnut St.,5704,924
521-23 W. Lehigh Ave.,4700 Wyalusing Ave.,8318,1364
735 W. Butler St.,1419 Wharton St,18109,1626
735 W. Butler St.,1220 S. 58th St,21336,1800
5901 Larchwood Ave,8398 Lindbergh Blvd,9160,1191
8398 Lindbergh Blvd,8398 Lindbergh Blvd,0,0
4700 Wyalusing Ave.,900 E Howell St,16672,1464
521-23 W. Lehigh Ave.,5901 Larchwood Ave,12486,1930
1801 W Diamond St,5901 Larchwood Ave,10671,1691
5901 Larchwood Ave,1510 W Oxford St,10533,1656
4700 Wyalusing Ave.,4520 Benner St,19782,1549
8398 Lindbergh Blvd,2530 Wharton St,8791,1079
735 W. Butler St.,5901 Larchwood Ave,15281,1766
4355 Paul St,6027 Chestnut St,20783,1743
8398 Lindbergh Blvd,4520 Benner St,28502,1730
8398 Lindbergh Blvd,521-23 W. Lehigh Ave.,21201,1671
8398 Lindbergh Blvd,4355 Paul St,26424,1549
4700 Wyalusing Ave.,2059 E Chelten Ave,18830,1441
2703 Tasker St,5901 Larchwood Ave,5888,965
4700 Wyalusing Ave.,100 E. Lehigh Ave.,13735,1383
4700 Wyalusing Ave.,1510 W Oxford St,5778,1085
5901 Larchwood Ave,169 W. Wyoming Ave.,15767,1529
521-23 W. Lehigh Ave.,1220 S. 58th St,17749,1866
3101 Ridge Ave.,5901 Larchwood Ave,8999,1327
521-23 W. Lehigh Ave.,935 S 53rd St,16189,1685
100 E. Lehigh Ave.,6027 Chestnut St,16974,1791
6500 Castor Ave,2530 Wharton St,22435,1767
1801 W Diamond St,6027 Chestnut St,9375,1613
1801 W Diamond St,1429 W Clearfield St,2489,470
3101 Ridge Ave.,6027 Chestnut St,7703,1249
521-23 W. Lehigh Ave.,2703 Tasker St,14485,1534
8398 Lindbergh Blvd,4700 Wyalusing Ave.,10071,1475
5901 Larchwood Ave,1801 W Diamond St,9290,1615
3001 Walnut St.,2059 E Chelten Ave,16328,1289
5901 Larchwood Ave,537 E. Wyoming Ave.,17571,1720
704 W Girard Ave,6027 Chestnut St,12806,1518
6500 Castor Ave,6027 Chestnut St,19459,1967
521-23 W. Lehigh Ave.,6027 Chestnut St,11190,1852
1419 Wharton St,5901 Larchwood Ave,7701,1369
735 W. Butler St.,1429 W Clearfield St,1750,343
5901 Larchwood Ave,521-23 W. Lehigh Ave.,11547,1984
1419 Wharton St,1419 Wharton St,0,0
8398 Lindbergh Blvd,3101 Ridge Ave.,18322,1459
5901 Larchwood Ave,769 N 39th St,5144,815
8398 Lindbergh Blvd,3223 W Clifford St,17360,1329
5901 Larchwood Ave,900 E Howell St,20038,2048
5901 Larchwood Ave,4520 Benner St,21608,2037
4667 Paul St.,4667 Paul St.,0,0
5901 Larchwood Ave,6500 Castor Ave,21095,2098
5901 Larchwood Ave,6434 Castor Ave,21095,2104
8398 Lindbergh Blvd,1510 W Oxford St,20413,1586
735 W. Butler St.,2703 Tasker St,18072,1468
5901 Larchwood Ave,2059 E Chelten Ave,20656,1930
6027 Chestnut St,6027 Chestnut St,0,0
6027 Chestnut St,5901 Larchwood Ave,991,197
